profile,controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R,fail_p,fail_a,fail_h,fail_phi,fail_m,fail_I
combined_moderate,a10_thermal_v04,5025,3.343984750441867,0.003194217091859835,0.6757142857142857,0.0,1,0.8350596693295688,0.3430468056891481,1.1059470571856074,0.0007843749474699471,0.20874142708504326,1.1270787070669275,1.0860319025461511,56.14713321493306,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5026,1.7568507457620361,0.0,0.0,0.0,0,0.8391249819891963,0.34857946018051583,0.9765704917873214,0.0008671808693835933,0.5621700732633366,1.154388744135219,0.8299037112502574,31.817400070239692,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5027,3.1291886190158418,0.0,0.0,0.0,0,0.8406916839685348,0.28630752072367205,0.9969694112966203,0.001101664464683975,0.15485087803366177,1.147834528945829,0.8860870190653148,59.03942430405557,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5028,3.8107416447875373,0.004696417786173057,0.71,0.0,1,0.8328634406683562,0.30692638469398487,1.1104067123596748,0.0007107643911489582,0.19387563796825963,1.1241525274979154,1.0884957552396826,62.468014302445894,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5029,3.368630249402451,6.165165252358745e-05,0.14714285714285713,0.0,1,0.8395064721825031,0.26532264060879335,1.0042362279104624,0.0010886389215590308,0.09715765829961086,1.146758118517267,0.8893179536126241,63.692029868551344,0,0,1,0,1,0
combined_moderate,a10_thermal_refined_v04,5000,3.08356878674024,0.00023234367435861036,0.07571428571428568,0.0,1,0.840503762237059,0.2395059445293223,0.9811555593902518,0.0009675253096018035,0.05009989300438572,1.150282333712073,0.8703779523448881,57.72517657670802,0,0,0,0,1,0
combined_moderate,a10_thermal_refined_v04,5001,2.5936085296994253,0.0006640902189236107,0.5728571428571428,0.0,1,0.8386913602148564,0.23891573877579403,1.0437180096245464,0.0009140883044521088,0.45213527198295084,1.1386981841868946,0.9639636726091487,46.68813546570469,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5002,2.619768466212902,0.0016247382510318508,0.6671428571428571,0.0,1,0.8370708881212708,0.281590392688981,1.0679297361150415,0.0007140433353657718,0.49497092051881786,1.1332689083955885,1.043978194009093,44.96998004615797,0,0,1,0,0,0
combined_moderate,a10_thermal_refined_v04,5003,2.669666231407214,0.0,0.0,0.0,0,0.8412913847225958,0.3070751723342193,0.9531647524762515,0.0009025025719334219,0.2686622888926172,1.1594826800175666,0.8116775925971258,50.14661425775577,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5004,1.678245309389776,0.0,0.0,0.0,0,0.8356342289008817,0.2242131814675654,0.9934573598336933,0.0007982257377999311,0.6600516473217777,1.1434891987325095,0.9043319149725907,29.947578527905158,0,0,0,0,0,0
combined_moderate,a10_thermal_refined_v04,5005,2.9125028126798047,0.0,0.0,0.0,0,0.8388629955188295,0.24727946072375837,0.9983554091174078,0.000953062723176516,0.23827133588992608,1.1491996421774295,0.8741225456722473,54.753566070907105,0,0,0,0,0,0
